State,BLM,FS,FWS,NPS,DOD,other,
Alabama,3011,670889,32585,17540,156163,31798212,
Alaska,71397880,22138560,76649320,52455308,25512,142815020,
Arizona,12120512,11179113,1683512,2658112,436743,44610008,
Arkansas,1405,2593165,379648,98346,86922,30439874,
California,15088090,20791505,296899,7612898,1703741,54713587,
Colorado,8352437,14487064,174983,665260,420503,42385513,
Connecticut,0,23,1754,5846,1487,3126250,
Delaware,0,0,25543,890,3485,1236002,
District of Columbia,0,0,0,8476,1173,29391,
Florida,2239,1203418,293636,2469173,522734,30230080,
Georgia,0,867580,488648,39935,550329,35348868,
Hawaii,0,0,309594,358160,162076,3275770,
Idaho,11776995,20447859,49733,511963,3098,20143472,
Illinois,20,304538,90000,12,29212,35371418,
Indiana,0,204318,16868,10769,152771,22773674,
Iowa,0,0,73427,2708,21374,35762971,
Kansas,1,108621,29509,462,115326,52256801,
Kentucky,0,818268,11838,94103,175951,24412160,
Louisiana,2043,608546,582342,17690,142670,27514549,
Maine,0,53880,73434,156205,17962,19546199,
Maryland,548,0,49795,41532,113487,6113998,
Massachusetts,0,0,23342,33336,6002,4972200,
Michigan,610,2874631,117816,632280,12262,32854561,
Minnesota,1101,2844937,516150,139789,2000,47701783,
Mississippi,5048,1190979,211438,104369,40800,28670086,
Missouri,59,1507891,61368,54569,79096,42545337,
Montana,8022852,17186331,653097,1214193,5928,66188639,
Nebraska,5325,351205,174401,5899,10022,48484828,
Nevada,47298840,5760954,2345102,797613,60101,14001710,
New Hampshire,0,753921,34716,13696,3139,4963488,
New Jersey,0,0,73785,35683,62488,4641484,
New Mexico,13500023,9225354,332058,468968,1139371,53100626,
New York,0,16352,29301,34106,151233,30449968,
North Carolina,0,1256493,423879,366889,387540,28968079,
North Dakota,58032,1103160,488648,71192,12609,42718839,
Ohio,0,244440,9109,20290,31663,25916578,
Oklahoma,1942,399578,108046,10011,163712,43404391,
Oregon,15742384,15697445,575379,196197,32852,29354463,
Pennsylvania,0,513891,12614,53460,42195,28182320,
Rhode Island,0,0,2415,5,2093,672607,
South Carolina,0,634594,130051,32339,78332,18498764,
South Dakota,275336,2006214,206930,148010,3515,46241915,
Tennessee,0,722057,54338,359197,145770,25446318,
Texas,12188,757036,574956,1206489,680529,164986402,
Utah,22787881,8192893,110567,2097860,78420,19429339,
Vermont,0,410654,34195,9836,11203,5470752,
Virginia,805,1668369,132201,306393,265848,23122704,
Washington,437342,9335431,163791,1834616,421675,30500905,
West Virginia,0,1046426,19888,65554,2270,14276422,
Wisconsin,2488,1524576,202424,61835,62762,33157115,
Wyoming,17493875,9215971,70930,2345619,11327,33205318,
